,model,mean_f1,f1_score
2,Gradient Boosting Classifier,0.71102882997072,0.7630057803468208
1,XGB Classifier,0.7169342932217682,0.7608695652173914
0,LGBM Classifier,0.7204385425787505,0.7171717171717171
3,Random Forest Classifier,0.6730280541470168,0.6697674418604651
4,Bagging Classifier,0.6645384770370166,0.6633663366336634
5,Voting Classifier,0.6323430874161233,0.6559139784946236
7,AdaBoost Classifier,0.6149779804212827,0.6309523809523809
6,Decision Tree Classifier,0.6255795030562832,0.6073298429319371
10,Stacking Classifier,0.5144127861722206,0.6057692307692307
8,Support Vector Classification,0.6110648201651899,0.5877862595419847
9,Logistic Regression,0.5590593108496379,0.5682656826568265
11,KNeighbors Classifier,0.4355821833326078,0.4900662251655629
