,threshold,f1
0,0.01,0.38247011952191234
1,0.02,0.4423076923076923
2,0.03,0.49586776859504134
3,0.04,0.5146198830409356
4,0.05,0.5321100917431193
5,0.060000000000000005,0.5477707006369427
6,0.06999999999999999,0.5752508361204013
7,0.08,0.6013986013986014
8,0.09,0.6099290780141844
9,0.09999999999999999,0.6176470588235294
10,0.11,0.6264150943396226
11,0.12,0.640926640926641
12,0.13,0.6509803921568628
13,0.14,0.6558704453441295
14,0.15000000000000002,0.6530612244897959
15,0.16,0.6530612244897959
16,0.17,0.6666666666666666
17,0.18000000000000002,0.6666666666666666
18,0.19,0.6554621848739496
19,0.2,0.6724890829694323
20,0.21000000000000002,0.6637168141592921
21,0.22,0.6666666666666666
22,0.23,0.6636771300448431
23,0.24000000000000002,0.6666666666666666
24,0.25,0.669683257918552
25,0.26,0.669683257918552
26,0.27,0.669683257918552
27,0.28,0.669683257918552
28,0.29000000000000004,0.6727272727272727
29,0.3,0.6757990867579908
30,0.31,0.6788990825688074
31,0.32,0.6820276497695853
32,0.33,0.6883720930232559
33,0.34,0.6948356807511737
34,0.35000000000000003,0.7014218009478673
35,0.36000000000000004,0.7047619047619048
36,0.37,0.7047619047619048
37,0.38,0.7081339712918661
38,0.39,0.7115384615384616
39,0.4,0.714975845410628
40,0.41000000000000003,0.7184466019417476
41,0.42000000000000004,0.7184466019417476
42,0.43,0.7219512195121951
43,0.44,0.7254901960784313
44,0.45,0.729064039408867
45,0.46,0.74
46,0.47000000000000003,0.7411167512690355
47,0.48000000000000004,0.7448979591836735
48,0.49,0.7525773195876289
49,0.5,0.7564766839378239
50,0.51,0.7604166666666666
51,0.52,0.7604166666666666
52,0.53,0.7604166666666666
53,0.54,0.7604166666666666
54,0.55,0.7684210526315789
55,0.56,0.7619047619047619
56,0.5700000000000001,0.7593582887700535
57,0.5800000000000001,0.7634408602150538
58,0.59,0.7634408602150538
59,0.6,0.7675675675675676
60,0.61,0.7675675675675676
61,0.62,0.7608695652173914
62,0.63,0.7608695652173914
63,0.64,0.7650273224043715
64,0.65,0.7624309392265194
65,0.66,0.7555555555555555
66,0.67,0.7486033519553073
67,0.68,0.7486033519553073
68,0.6900000000000001,0.7386363636363636
69,0.7000000000000001,0.7386363636363636
70,0.7100000000000001,0.7386363636363636
71,0.72,0.7386363636363636
72,0.73,0.7428571428571429
73,0.74,0.7428571428571429
74,0.75,0.7471264367816092
75,0.76,0.7251461988304093
76,0.77,0.7294117647058823
77,0.78,0.7337278106508875
78,0.79,0.7261904761904762
79,0.8,0.7305389221556886
80,0.81,0.7228915662650602
81,0.8200000000000001,0.7228915662650602
82,0.8300000000000001,0.7151515151515152
83,0.8400000000000001,0.7151515151515152
84,0.85,0.691358024691358
85,0.86,0.6792452830188679
86,0.87,0.6708860759493671
87,0.88,0.6666666666666666
88,0.89,0.6405228758169934
89,0.9,0.6225165562913907
90,0.91,0.6225165562913907
91,0.92,0.6133333333333333
92,0.93,0.589041095890411
93,0.9400000000000001,0.5833333333333334
94,0.9500000000000001,0.5673758865248227
95,0.9600000000000001,0.5333333333333333
96,0.97,0.47692307692307695
97,0.98,0.42857142857142855
98,0.99,0.3275862068965517
